timestamp,open,high,high,low,close,volume,adjusted_close
2018-02-09,157.0700,157.8900,157.8900,150.2400,156.4100,66723743,156.4100
2018-02-08,160.2900,161.0000,161.0000,155.0300,155.1500,49594129,154.5276
2018-02-07,163.0850,163.4000,163.4000,159.0685,159.5400,50852130,158.9000
2018-02-06,154.8300,163.7200,163.7200,154.0000,163.0300,66625484,162.3760
2018-02-05,159.1000,163.8800,163.8800,156.0000,156.4900,66090446,155.8622
2018-02-02,166.0000,166.8000,166.8000,160.1000,160.5000,85436075,159.8561
2018-02-01,167.1650,168.6200,168.6200,166.7600,167.7800,38099665,167.1069
2018-01-31,166.8700,168.4417,168.4417,166.5000,167.4300,30984099,166.7583
2018-01-30,165.5250,167.3700,167.3700,164.7000,166.9700,45137026,166.3002
2018-01-29,170.1600,170.1600,170.1600,167.0700,167.9600,48434424,167.2862
2018-01-26,172.0000,172.0000,172.0000,170.0600,171.5100,37121805,170.8220
2018-01-25,174.5050,174.9500,174.9500,170.5300,171.1100,39661804,170.4236
2018-01-24,177.2500,177.3000,177.3000,173.2000,174.2200,50562257,173.5211
2018-01-23,177.3000,179.4400,179.4400,176.8200,177.0400,31702531,176.3298
2018-01-22,177.3000,177.7800,177.7800,176.6016,177.0000,26023683,176.2899
2018-01-19,178.6100,179.5800,179.5800,177.4100,178.4600,30827809,177.7441
2018-01-18,179.3700,180.1000,180.1000,178.2500,179.2600,30234512,178.5409
2018-01-17,176.1500,179.2500,179.2500,175.0700,179.1000,32752734,178.3815
2018-01-16,177.9000,179.3900,179.3900,176.1400,176.1900,29159005,175.4832
2018-01-12,176.1800,177.3600,177.3600,175.6500,177.0900,25039531,176.3796
2018-01-11,174.5900,175.4886,175.4886,174.4900,175.2800,17523256,174.5768
2018-01-10,173.1600,174.3000,174.3000,173.0000,174.2900,23589129,173.5908
2018-01-09,174.5500,175.0600,175.0600,173.4100,174.3300,21262614,173.6306
2018-01-08,174.3500,175.6100,175.6100,173.9300,174.3500,20134092,173.6506
2018-01-05,173.4400,175.3700,175.3700,173.0500,175.0000,23016177,174.2979
2018-01-04,172.5400,173.4700,173.4700,172.0800,173.0300,22211345,172.3359
2018-01-03,172.5300,174.5500,174.5500,171.9600,172.2300,28819653,171.5391
2018-01-02,170.1600,172.3000,172.3000,169.2600,172.2600,25048048,171.5689
2017-12-29,170.5200,170.5900,170.5900,169.2200,169.2300,25643711,168.5511
2017-12-28,171.0000,171.8500,171.8500,170.4800,171.0800,15997739,170.3937
2017-12-27,170.1000,170.7800,170.7800,169.7100,170.6000,21672062,169.9156
2017-12-26,170.8000,171.4700,171.4700,169.6790,170.5700,32968167,169.8857
2017-12-22,174.6800,175.4240,175.4240,174.5000,175.0100,16052615,174.3079
2017-12-21,174.1700,176.0200,176.0200,174.1000,175.0100,20356826,174.3079
2017-12-20,174.8700,175.4200,175.4200,173.2500,174.3500,23000392,173.6506
2017-12-19,175.0300,175.3900,175.3900,174.0900,174.5400,27078872,173.8398
2017-12-18,174.8800,177.2000,177.2000,174.8600,176.4200,28831533,175.7123
2017-12-15,173.6300,174.1700,174.1700,172.4600,173.9700,37054632,173.2721
2017-12-14,172.4000,173.1300,173.1300,171.6500,172.2200,20219307,171.5291
2017-12-13,172.5000,173.5400,173.5400,172.0000,172.2700,23142242,171.5789
2017-12-12,172.1500,172.3900,172.3900,171.4610,171.7000,18945457,171.0112
2017-12-11,169.2000,172.8900,172.8900,168.7900,172.6700,33092051,171.9773
2017-12-08,170.4900,171.0000,171.0000,168.8200,169.3700,23096872,168.6905
2017-12-07,169.0300,170.4400,170.4400,168.9100,169.3200,24469613,168.6407
2017-12-06,167.5000,170.2047,170.2047,166.4600,169.0100,28224357,168.3320
2017-12-05,169.0600,171.5200,171.5200,168.4000,169.6400,27008428,168.9595
2017-12-04,172.4800,172.6200,172.6200,169.6300,169.8000,32115052,169.1188
2017-12-01,169.9500,171.6700,171.6700,168.5000,171.0500,39590080,170.3638
2017-11-30,170.4300,172.1400,172.1400,168.4400,171.8500,40172368,171.1606
2017-11-29,172.6300,172.9200,172.9200,167.1600,169.4800,40788324,168.8001
2017-11-28,174.3000,174.8700,174.8700,171.8600,173.0700,25468442,172.3757
2017-11-27,175.0500,175.0800,175.0800,173.3400,174.0900,20536313,173.3916
2017-11-24,175.1000,175.5000,175.5000,174.6459,174.9700,14026519,174.2681
2017-11-22,173.3600,175.0000,175.0000,173.0500,174.9600,24997274,174.2581
2017-11-21,170.7800,173.7000,173.7000,170.7800,173.1400,24875471,172.4454
2017-11-20,170.2900,170.5600,170.5600,169.5600,169.9800,15974387,169.2981
2017-11-17,171.0400,171.3900,171.3900,169.6400,170.1500,21665811,169.4674
2017-11-16,171.1800,171.8700,171.8700,170.3000,171.1000,23497326,170.4136
2017-11-15,169.9700,170.3197,170.3197,168.3800,169.0800,28702351,168.4017
2017-11-14,173.0400,173.4800,173.4800,171.1800,171.3400,23588451,170.6526
2017-11-13,173.5000,174.5000,174.5000,173.4000,173.9700,16828025,173.2721
2017-11-10,175.1100,175.3800,175.3800,174.2700,174.6700,25061183,173.9693
2017-11-09,175.1100,176.0950,176.0950,173.1400,175.8800,28636531,174.5449
2017-11-08,174.6600,176.2400,176.2400,174.3300,176.2400,24409527,174.9021
2017-11-07,173.9100,175.2500,175.2500,173.6000,174.8100,23910914,173.4830
2017-11-06,172.3650,174.9900,174.9900,171.7200,174.2500,34242566,172.9272
2017-11-03,174.0000,174.2600,174.2600,171.1200,172.5000,58683826,171.1905
2017-11-02,167.6400,168.5000,168.5000,165.2800,168.1100,32710040,166.8339
2017-11-01,169.8700,169.9400,169.9400,165.6100,166.8900,33100847,165.6231
2017-10-31,167.9000,169.6499,169.6499,166.9400,169.0400,35474672,167.7568
2017-10-30,163.8900,168.0700,168.0700,163.7200,166.7200,43923292,165.4544
2017-10-27,159.2900,163.6000,163.6000,158.7000,163.0500,43904150,161.8123
2017-10-26,157.2300,157.8295,157.8295,156.7800,157.4100,16751691,156.2151
2017-10-25,156.9100,157.5500,157.5500,155.2700,156.4100,20126554,155.2227
2017-10-24,156.2900,157.4200,157.4200,156.2000,157.1000,17137731,155.9074
2017-10-23,156.8900,157.6900,157.6900,155.5000,156.1700,21654461,154.9845
2017-10-20,156.6100,157.7500,157.7500,155.9600,156.2500,23612246,155.0639
2017-10-19,156.7500,157.0800,157.0800,155.0200,155.9800,42111326,154.7959
2017-10-18,160.4200,160.7100,160.7100,159.6000,159.7600,16158659,158.5472
2017-10-17,159.7800,160.8700,160.8700,159.2300,160.4700,18816438,159.2519
2017-10-16,157.9000,160.0000,160.0000,157.6500,159.8800,23894630,158.6663
2017-10-13,156.7300,157.2800,157.2800,156.4100,156.9900,16287608,155.7983
2017-10-12,156.3500,157.3700,157.3700,155.7299,156.0000,16045720,154.8158
2017-10-11,155.9700,156.9800,156.9800,155.7500,156.5500,16607693,155.3616
2017-10-10,156.0550,158.0000,158.0000,155.1000,155.9000,15456331,154.7165
2017-10-09,155.8100,156.7300,156.7300,155.4850,155.8400,16200129,154.6570
2017-10-06,154.9700,155.4900,155.4900,154.5600,155.3000,16423749,154.1211
2017-10-05,154.1800,155.4400,155.4400,154.0500,155.3900,21032800,154.2104
2017-10-04,153.6300,153.8600,153.8600,152.4600,153.4800,19844177,152.3149
2017-10-03,154.0100,155.0900,155.0900,153.9100,154.4800,16146388,153.3073
2017-10-02,154.2600,154.4500,154.4500,152.7200,153.8100,18524860,152.6424
2017-09-29,153.2100,154.1300,154.1300,152.0000,154.1200,25856530,152.9501
2017-09-28,153.8900,154.2800,154.2800,152.7000,153.2800,21896592,152.1164
2017-09-27,153.8000,154.7189,154.7189,153.5400,154.2300,24959552,153.0592
2017-09-26,151.7800,153.9200,153.9200,151.6900,153.1400,35470985,151.9775
2017-09-25,149.9900,151.8300,151.8300,149.1600,150.5500,43922334,149.4072
2017-09-22,152.0200,152.2700,152.2700,150.5600,151.8900,46114424,150.7370
2017-09-21,155.8000,155.8000,155.8000,152.7500,153.3900,36643382,152.2256
2017-09-20,157.9000,158.2600,158.2600,153.8300,156.0700,51693239,154.8853
2017-09-19,159.5100,159.7700,159.7700,158.4400,158.7300,20347352,157.5251
